num,formula,reason
863,Pb2Ta,insufficient structure data
864,AuGa2,insufficient structure data
865,Mn2Pt,insufficient structure data
866,Mn2Ni2,insufficient structure data
867,Cu3Nb,insufficient structure data
868,Cu3K,insufficient structure data
869,FeMn2,insufficient structure data
870,BaCa2,insufficient structure data
871,W3As2,insufficient structure data
872,Fe2As2,insufficient structure data
873,CaPb3,insufficient structure data
874,Pd2Sb,insufficient structure data
875,Cu3Nb2,insufficient structure data
876,Cr2Rh2,insufficient structure data
877,NbTa2,insufficient structure data
878,Mn2P,insufficient structure data
879,GaNb2,insufficient structure data
880,In2V2,insufficient structure data
881,Ta2W2,insufficient structure data
882,In2P,insufficient structure data
883,PdPt2,insufficient structure data
884,Ag3Ge2,insufficient structure data
885,Ba2Ca3,insufficient structure data
886,KNb2,insufficient structure data
887,CaGe,insufficient structure data
888,NiP3,insufficient structure data
889,Cu2Sn2,insufficient structure data
890,Ag3K2,insufficient structure data
891,Cu2In2,insufficient structure data
892,CaMo2,insufficient structure data
893,Mo3P,insufficient structure data
894,Cr2K3,insufficient structure data
895,Ag2K2,insufficient structure data
896,WAs2,insufficient structure data
897,Cu3In,insufficient structure data
898,AgPb2,insufficient structure data
899,Pb2Rh3,insufficient structure data
900,AgPb2,insufficient structure data
901,Fe2Br3,insufficient structure data
902,Fe3Pd2,insufficient structure data
903,Ir2Ge2,insufficient structure data
904,Al2Na2,insufficient structure data
905,Au3Mn2,insufficient structure data
906,K2Nb,insufficient structure data
907,CuIn3,insufficient structure data
908,Au3Ba,insufficient structure data
909,Pb2Rh3,insufficient structure data
910,Cr3Cu2,insufficient structure data
911,Nb2Ge2,insufficient structure data
912,Pd2Sb2,insufficient structure data
913,Ag6K7,insufficient structure data
914,K2V3,insufficient structure data
915,V2P,insufficient structure data
916,PtRh3,insufficient structure data
917,Ba3Pd,insufficient structure data
918,Pb2W2,insufficient structure data
1316,Cu2Mo,insufficient structure data
1317,Ba2Pd2,insufficient structure data
1318,CrAs2,insufficient structure data
1319,MoP3,insufficient structure data
1320,CrAs3,insufficient structure data
1321,Cr2As2,insufficient structure data
1322,Rh3Sn2,insufficient structure data
1323,AgCu3,insufficient structure data
1324,InP2,insufficient structure data
1325,Ir6Ni7,insufficient structure data
1326,W6As6,insufficient structure data
1327,Ir3Ni,insufficient structure data
1328,W2As2,insufficient structure data
1329,Nb2Ta3,insufficient structure data
1330,Cu2K3,insufficient structure data
1331,Nb3Ta2,insufficient structure data
1332,CaPb3,insufficient structure data
1333,CuMo2,insufficient structure data
1334,IrGe2,insufficient structure data
1335,Cu6In7,insufficient structure data
1336,Nb2Ge,insufficient structure data
1337,Cu6In6,insufficient structure data
1338,Cu2K2,insufficient structure data
1339,FePd3,insufficient structure data
1340,Ag2Cu2,insufficient structure data
1341,Rh2Sn,insufficient structure data
1342,PtRh3,insufficient structure data
1343,Pb2Ta2,insufficient structure data
1344,Fe2Pd,insufficient structure data
1345,Au2Ga,insufficient structure data
1346,Cu2K2,insufficient structure data
1347,Au2Ga3,insufficient structure data
1348,Cu3Sn,insufficient structure data
1349,Ag2Cu,insufficient structure data
1350,NiSn2,insufficient structure data
1354,Mn2Ni2,insufficient structure data
1355,Pt2Rh,insufficient structure data
1356,In2Sr,insufficient structure data
1357,NbGe3,insufficient structure data
1358,FeMn2,insufficient structure data
1359,AuMn3,insufficient structure data
1365,Ag3Ge2,insufficient structure data
1366,Sn2Ta2,insufficient structure data
1367,Ag2K2,insufficient structure data
1368,W2As3,insufficient structure data
1370,Mn3P2,insufficient structure data
1371,CrSr2,insufficient structure data
1372,Cu3Nb2,insufficient structure data
1373,AuK3,insufficient structure data
1374,Ca3P2,insufficient structure data
1375,Ni2Sn2,insufficient structure data
1376,PbRh2,insufficient structure data
1377,Ag2Pb2,insufficient structure data
1384,In3K,insufficient structure data
1385,Mn3Ni2,insufficient structure data
1386,Ag2K2,insufficient structure data
1392,Ga3Mn,insufficient structure data
1393,Mn2Ni,insufficient structure data
1394,PbRh3,insufficient structure data
1395,Sn2Ta2,insufficient structure data
1404,Fe6As6,insufficient structure data
1413,Ca2Fe,insufficient structure data
1756,Cu6P6,insufficient structure data
1757,Rh2Ge2,insufficient structure data
1758,Cu2P,insufficient structure data
1759,CuIn3,insufficient structure data
1760,Fe2Rh3,insufficient structure data
1761,TaP3,insufficient structure data
1762,Au2Ga,insufficient structure data
1763,Fe3Mn2,insufficient structure data
1764,Ir2V,insufficient structure data
1765,GaMn3,insufficient structure data
1766,CuRh2,insufficient structure data
1767,MnPt2,insufficient structure data
1768,Ba7P6,insufficient structure data
1769,Cu3In2,insufficient structure data
1770,CuK,insufficient structure data
1771,Ga3Sn,insufficient structure data
1772,Fe2As,insufficient structure data
1773,Cr2As2,insufficient structure data
1774,Ga2Mn2,insufficient structure data
1775,Pd2P2,insufficient structure data
1776,Pd2Pt7,insufficient structure data
1777,Ca2As2,insufficient structure data
1778,P3Br,insufficient structure data
1779,NiGe3,insufficient structure data
1780,CuSn3,insufficient structure data
1781,In2Rh2,insufficient structure data
1782,Cu3Rh,insufficient structure data
1783,Mo2P2,insufficient structure data
1784,Mn2Ni2,insufficient structure data
1785,Cu2P,insufficient structure data
1786,Ca7As6,insufficient structure data
1787,Ca2Fe,insufficient structure data
1788,Ir3Ni,insufficient structure data
1789,BaCa2,insufficient structure data
1790,Al2Nb,insufficient structure data
1791,Ag2Cu,insufficient structure data
1792,Ga2V3,insufficient structure data
1793,Al3Rh2,insufficient structure data
1794,CuIn2,insufficient structure data
1795,Cu5Pt3,insufficient structure data
1796,Ba2Ca2,insufficient structure data
1797,Ba2P2,insufficient structure data
1798,Cu3Sn6,insufficient structure data
1799,Mn2Ni3,insufficient structure data
1800,Ca2Pb2,insufficient structure data
1801,Ga2Mn2,insufficient structure data
1802,IrGe3,insufficient structure data
1803,Ir6Ge7,insufficient structure data
1804,CuP2,insufficient structure data
1805,BaCa3,insufficient structure data
1806,Cr2Rh2,insufficient structure data
1807,Ba3Ca,insufficient structure data
1808,Ca3Fe,insufficient structure data
1809,Cu6Ge7,insufficient structure data
1810,Ga13Mn13,insufficient structure data
1811,Ni3P2,insufficient structure data
1812,Cr2Rh2,insufficient structure data
1813,BaPd3,insufficient structure data
1814,AlNb3,insufficient structure data
1815,Cr2Rh2,insufficient structure data
1816,Ag2Pb,insufficient structure data
2221,CrSr2,insufficient structure data
2222,Mn2P3,insufficient structure data
2223,GaW3,insufficient structure data
2224,Ni6P7,insufficient structure data
2225,Cr3As,insufficient structure data
2226,AuBa3,insufficient structure data
2227,MnPt3,insufficient structure data
2228,CuMo3,insufficient structure data
2229,Ag7K6,insufficient structure data
2230,SrGe3,insufficient structure data
2231,Ba2Pd2,insufficient structure data
2232,CrAs2,insufficient structure data
2233,Ga2Rh2,insufficient structure data
2234,NbGe3,insufficient structure data
2235,VP3,insufficient structure data
2236,Fe2Sr2,insufficient structure data
2237,CuSn2,insufficient structure data
2238,Au2Ba2,insufficient structure data
2240,CuGe2,insufficient structure data
2241,IrGe2,insufficient structure data
2242,Mo2Pt,insufficient structure data
2243,BaP2,insufficient structure data
2244,CuSn3,insufficient structure data
2245,NbGe,insufficient structure data
2246,Ir3V2,insufficient structure data
2247,Au2Ga2,insufficient structure data
2250,Pd2Pt,insufficient structure data
2251,Ba3Na2,insufficient structure data
2252,W2As,insufficient structure data
2253,Pt2Rh2,insufficient structure data
2254,Fe2Rh3,insufficient structure data
2255,FePd3,insufficient structure data
2256,CuSn3,insufficient structure data
2260,Cr2Sr2,insufficient structure data
2261,PdP2,insufficient structure data
2262,Cu3In2,insufficient structure data
2263,Fe2Rh3,insufficient structure data
2264,Ga2W2,insufficient structure data
2265,Fe4Rh2,insufficient structure data
2266,Pd7Sb6,insufficient structure data
2267,Rh3Ge2,insufficient structure data
2268,InP3,insufficient structure data
2269,Cu7In6,insufficient structure data
2270,Fe2Pd,insufficient structure data
2271,FeAs2,insufficient structure data
2272,Fe2V,insufficient structure data
2273,Ir2Ni,insufficient structure data
2274,V7P6,insufficient structure data
2281,Ga3Nb2,insufficient structure data
2282,Ga3V,insufficient structure data
2283,Ir2Sn2,insufficient structure data
2287,PdSb3,insufficient structure data
2288,Ba3Pd,insufficient structure data
2289,KNb3,insufficient structure data
2290,Ca2Fe2,insufficient structure data
2291,In2Rh2,insufficient structure data
2292,AuGa2,insufficient structure data
2299,Cu3P2,insufficient structure data
2300,Cr14Ta2,insufficient structure data
2301,Cr2As,insufficient structure data
2309,Ba2Pd3,insufficient structure data
2310,Au2Ba2,insufficient structure data
2327,Pd3Pt,insufficient structure data
2328,Au4Mn,insufficient structure data
2337,Al2Rh2,insufficient structure data
2355,WAs2,insufficient structure data
2373,Mn2Ni,insufficient structure data
2657,Ir2Ge2,insufficient structure data
2658,Ba2Na,insufficient structure data
2659,IrNi3,insufficient structure data
2660,IrGe,insufficient structure data
2661,Pb3W2,insufficient structure data
2662,Mn2Ni2,insufficient structure data
2663,PdSb2,insufficient structure data
2664,MnNi2,insufficient structure data
2665,Fe2Rh4,insufficient structure data
2666,Ca2As2,insufficient structure data
2667,BaSn2,insufficient structure data
2668,Cr3K,insufficient structure data
2669,Au2Mn,insufficient structure data
2670,Ag2Cu3,insufficient structure data
2671,Ir6Ge6,insufficient structure data
2672,Cu3In2,insufficient structure data
2673,Ni2P,insufficient structure data
2674,Cu2K2,insufficient structure data
2675,Ba2Pd2,insufficient structure data
2676,Al3Nb2,insufficient structure data
2677,Fe2Rh4,insufficient structure data
2678,TaW2,insufficient structure data
2679,FeV2,insufficient structure data
2680,MoP2,insufficient structure data
2681,Al3Na2,insufficient structure data
2682,Ag2Ge2,insufficient structure data
2683,Au2Sr2,insufficient structure data
2684,Cu2In2,insufficient structure data
2685,IrNi2,insufficient structure data
2686,FeV3,insufficient structure data
2687,TaP2,insufficient structure data
2688,CuSn3,insufficient structure data
2689,Mn2P2,insufficient structure data
2690,NbNi2,insufficient structure data
2691,Al2Na2,insufficient structure data
2692,Ba3Na,insufficient structure data
2693,Ba7P6,insufficient structure data
2694,Pd2Pt2,insufficient structure data
2695,Cu3K,insufficient structure data
2696,Ag6Pb7,insufficient structure data
2697,Cr2W2,insufficient structure data
2698,Ba2Pd,insufficient structure data
2699,V3P2,insufficient structure data
2700,Ca2Fe,insufficient structure data
2701,Fe2Rh4,insufficient structure data
2702,Ag3Ge,insufficient structure data
2703,Ta2W2,insufficient structure data
2704,In3K,insufficient structure data
2705,RhSn3,insufficient structure data
2706,FeAs2,insufficient structure data
2707,Ba6Pd7,insufficient structure data
2708,Cu2In,insufficient structure data
2709,Mn3P2,insufficient structure data
2710,Ca2Ge2,insufficient structure data
2711,Ga3W,insufficient structure data
2712,Ir2V,insufficient structure data
2713,Cr2Rh3,insufficient structure data
2714,Pb2Sb,insufficient structure data
2715,NbTa2,insufficient structure data
2716,RhGe3,insufficient structure data
2717,Cu2In3,insufficient structure data
2718,KNb2,insufficient structure data
2719,RhSn3,insufficient structure data
2720,AgK3,insufficient structure data
2721,FePd3,insufficient structure data
2722,Ca2Fe2,insufficient structure data
2723,Au7P6,insufficient structure data
2724,Ag3K2,insufficient structure data
3759,Pd3Pt9,insufficient structure data
3760,Pd4Pt8,insufficient structure data
3761,Au2Cu2,insufficient structure data
3762,Pd4Pt5,insufficient structure data
3763,Ca4Sr2,insufficient structure data
3764,Pd5Pt7,insufficient structure data
3765,Rh3P,insufficient structure data
3766,Ba8Na10,insufficient structure data
3767,Ag3Al4,insufficient structure data
3768,Au4Mn2,insufficient structure data
3769,Cu3Fe,insufficient structure data
3770,Pd3Rh,insufficient structure data
3927,Al2W4,insufficient structure data
3928,Rh3P,insufficient structure data
3929,Rh3Sr3,insufficient structure data
3930,V2As2,insufficient structure data
3931,Al2In2,insufficient structure data
3932,K2V2,insufficient structure data
3933,Al5As,insufficient structure data
3934,PdSr5,insufficient structure data
3935,In4V2,insufficient structure data
3936,Ca2Nb2,insufficient structure data
3937,Pt2P4,insufficient structure data
3938,Pd6Pt6,insufficient structure data
3939,Ga2Sn4,insufficient structure data
3940,IrRh2,insufficient structure data
3941,Ag3P,insufficient structure data
3942,AuFe5,insufficient structure data
3943,MnBr3,insufficient structure data
3944,Pd7Pt5,insufficient structure data
3945,Fe4Mo8,insufficient structure data
3946,Cu3P,insufficient structure data
3947,V6Br2,insufficient structure data
3948,Ga4Br2,insufficient structure data
3949,AlIr3,insufficient structure data
3950,TaP2,insufficient structure data
3951,K4Ge2,insufficient structure data
3952,Mo8W4,insufficient structure data
3953,Ga3P,insufficient structure data
3954,Pd4Pt8,insufficient structure data
3955,Ca4Sn2,insufficient structure data
3956,Ag4Ge2,insufficient structure data
3957,Ir4Rh2,insufficient structure data
3958,IrNi2,insufficient structure data
3959,Mo8Br10,insufficient structure data
3960,Ni4P2,insufficient structure data
3961,As4Br2,insufficient structure data
3962,Ag3Cu,insufficient structure data
3963,PbRh3,insufficient structure data
3964,Cu4Fe12,insufficient structure data
3965,Nb12W4,insufficient structure data
3966,Cu8In16,insufficient structure data
3967,NaPd3,insufficient structure data
3968,Ba4Na3,insufficient structure data
3969,Pd3Rh6,insufficient structure data
3970,PtW3,insufficient structure data
3971,Ba5Br,insufficient structure data
3972,Ni2Pd4,insufficient structure data
3973,Ni6Ta2,insufficient structure data
3974,Ba4Nb2,insufficient structure data
3975,Pb6Br2,insufficient structure data
3976,Fe4Pb,insufficient structure data
3977,Mn2Pt2,insufficient structure data
3985,PbSn3,insufficient structure data
4029,Ag4As2,insufficient structure data
4051,Ga2Sn2,insufficient structure data
4258,Al4Ge2,insufficient structure data
4645,Mn2Ni4,insufficient structure data
4646,Rh3Sb3,insufficient structure data
4647,K2Rh2,insufficient structure data
4648,P4As2,insufficient structure data
4649,Sn3P3,insufficient structure data
4650,Mn5Pt,insufficient structure data
4651,Fe4Mo2,insufficient structure data
4652,Ta2W2,insufficient structure data
4653,AgCu2,insufficient structure data
4654,Ag3Al5,insufficient structure data
4655,Pb8W4,insufficient structure data
4656,Sn4Ta2,insufficient structure data
4657,Au2Ga2,insufficient structure data
4658,Au2Pb4,insufficient structure data
4659,Al4Sb2,insufficient structure data
4660,Ba2Mo4,insufficient structure data
4661,In2Ni4,insufficient structure data
4662,GaNb3,insufficient structure data
4663,Ga2Mo2,insufficient structure data
4664,MnAs2,insufficient structure data
4665,AgIr3,insufficient structure data
4666,PbGe,insufficient structure data
4667,Cu4Pb,insufficient structure data
4668,Ni6Ta2,insufficient structure data
4669,MnBr2,insufficient structure data
4670,Al3Ba5,insufficient structure data
4671,Pd2Rb2,insufficient structure data
4672,Pb2Br4,insufficient structure data
4673,BaCa4,insufficient structure data
4674,Pd6Pt4,insufficient structure data
4675,Sr3As,insufficient structure data
4676,Ba2Mo4,insufficient structure data
4677,Ag4Al4,insufficient structure data
4678,AgCa5,insufficient structure data
4679,Ag2K,insufficient structure data
4680,Au3Ba,insufficient structure data
4681,Ag4Al8,insufficient structure data
4682,Mo2Sb2,insufficient structure data
4683,Ga2As2,insufficient structure data
4684,Ag8Cu10,insufficient structure data
4685,Pb2Br2,insufficient structure data
4686,In5P,insufficient structure data
4687,Fe3Mo,insufficient structure data
4688,InV5,insufficient structure data
4689,Fe4As12,insufficient structure data
4690,Pb5W,insufficient structure data
4691,PbI2,insufficient structure data
4692,Mn4Pt4,insufficient structure data
4693,K2Br2,insufficient structure data
4694,Mn4W2,insufficient structure data
4695,Ca2V,insufficient structure data
4696,Al5Nb,insufficient structure data
4697,Ir2V4,insufficient structure data
4698,Nb2Ta4,insufficient structure data
4699,GaAs2,insufficient structure data
4704,Nb6Pd4,insufficient structure data
4705,Pd3V,insufficient structure data
4706,Mn2Pt2,insufficient structure data
4707,W12As4,insufficient structure data
4708,InNa5,insufficient structure data
